Invoice date,Item #,Lot/Inv #,Year,Make,Model,VIN,Location,Description,Left location,Date paid,Invoice amount
12/11/2025,2231,94855235,2019,HYUNDAI,ELANTRA GT,KMHH35LE8KU102846,NY - NEWBURGH,2019 HYUNDAI ELANTRA GT   ,12/15/2025,12/11/2025,$975.00 USD
12/11/2025,3254,85834495,2009,FORD,F150 SUPER,1FTPX14V99FB08455,NY - NEWBURGH,2009 FORD F150 SUPER CAB  ,12/23/2025,12/11/2025,"$1,430.00 USD"
12/11/2025,25,68181725,2016,NISSAN,SENTRA S,3N1AB7AP5GL684577,NJ - GLASSBORO EAST,2016 NISSAN SENTRA S  ,12/17/2025,12/11/2025,"$1,090.00 USD"
12/11/2025,2018,84887035,2016,CHEVROLET,MALIBU LIM,1G11C5SA0GU107964,NJ - GLASSBORO EAST,2016 CHEVROLET MALIBU LIMITED LT  ,12/17/2025,12/11/2025,$790.00 USD
12/11/2025,3204,91654715,2018,FORD,FUSION TIT,3FA6P0D97JR151259,NY - NEWBURGH,2018 FORD FUSION TITANIUM/PLATINUM  ,12/15/2025,12/11/2025,$850.00 USD
12/10/2025,,6397102,,,,,NJ - GLASSBORO EAST,MISC INVOICE,,12/10/2025,$360.00 USD
12/10/2025,3084,91700635,2016,HONDA,HR-V EX,3CZRU6H51GM768229,VA - FREDERICKSBURG,2016 HONDA HR-V EX  ,12/12/2025,12/10/2025,"$3,635.00 USD"
12/10/2025,2268,91217755,2012,CHEVROLET,MALIBU 1LT,1G1ZC5E07CF110560,NJ - TRENTON,2012 CHEVROLET MALIBU 1LT  ,12/11/2025,12/10/2025,$950.00 USD
12/10/2025,2018,93731865,2018,DODGE,JOURNEY CR,3C4PDCGGXJT379097,VA - FREDERICKSBURG,2018 DODGE JOURNEY CROSSROAD  ,12/12/2025,12/10/2025,"$2,665.00 USD"
12/10/2025,3002,93736515,2016,CHRYSLER,TOWN & COU,2C4RC1BG2GR128741,VA - FREDERICKSBURG,2016 CHRYSLER TOWN & COUNTRY TOURING  ,12/12/2025,12/10/2025,"$2,075.00 USD"
12/10/2025,1,91023815,2013,CHEVROLET,EXPRESS G3,1GCZGTCG1D1122816,MD - BALTIMORE EAST,2013 CHEVROLET EXPRESS 3500 DELIVERY VAN,12/17/2025,12/10/2025,"$1,095.00 USD"
12/08/2025,,6354598,,,,,NJ - GLASSBORO EAST,MISC INVOICE,,12/08/2025,$60.00 USD
12/08/2025,1122,91182945,2015,CHRYSLER,200 S,1C3CCCDGXFN630198,VA - RICHMOND EAST,2015 CHRYSLER 200 S  ,12/12/2025,12/08/2025,"$1,015.00 USD"
12/08/2025,4049,91053555,2020,HONDA,ACCORD SPO,1HGCV2E37LA004396,NJ - TRENTON,2020 HONDA ACCORD SPORT  ,12/11/2025,12/08/2025,"$6,620.00 USD"
12/08/2025,2299,91789465,2013,NISSAN,SENTRA SV,3N1AB7AP2DL614465,NJ - TRENTON,2013 NISSAN SENTRA S  ,12/11/2025,12/08/2025,"$1,275.00 USD"
